ccn,state,county,county_fips,harm_survey_week,flagged,first_crossing_week,lead_days,score_at_crossing,prior_harm_rate_at_crossing,hprd_total_at_crossing,hprd_rn_at_crossing,rn_share_at_crossing,contract_frac_at_crossing,weekend_gap_at_crossing,hprd_cv_at_crossing,hprd_trend_at_crossing,low_days_frac_at_crossing,census_at_crossing,matched_controls,matched_controls_not_flagged
175245,KS,Wyandotte,209,2026-03-02,1,2025-09-08,175,0.224547,0.231317,2.19047,0.388429,0.177327,0.0,0.161008,0.102726,-0.053413,1.0,94.744444,26,15
175246,KS,Republic,157,2025-09-15,0,,,,,,,,,,,,,,159,123
175249,KS,Neosho,133,2026-03-02,0,,,,,,,,,,,,,,157,126
175254,KS,Harvey,079,2025-05-12,0,,,,,,,,,,,,,,154,129
175264,KS,Cherokee,021,2026-03-16,0,,,,,,,,,,,,,,157,126
175267,KS,Johnson,091,2025-06-09,1,2025-03-24,77,0.182715,0.792299,3.20975,0.401073,0.124954,0.065989,0.082269,0.072119,-0.037926,0.858696,112.48913,9,8
175280,KS,Lyon,111,2025-06-30,0,,,,,,,,,,,,,,157,126
175291,KS,Barton,009,2025-05-05,0,,,,,,,,,,,,,,60,49
175291,KS,Barton,009,2025-07-28,0,,,,,,,,,,,,,,60,48
175302,KS,Harvey,079,2026-02-23,0,,,,,,,,,,,,,,60,50
175313,KS,Cowley,035,2025-04-07,0,,,,,,,,,,,,,,154,129
175313,KS,Cowley,035,2025-06-23,0,,,,,,,,,,,,,,157,126
175315,KS,Pratt,151,2025-03-31,0,,,,,,,,,,,,,,154,129
175328,KS,Ellis,051,2026-01-05,0,,,,,,,,,,,,,,159,125
175332,KS,Franklin,059,2026-01-26,0,,,,,,,,,,,,,,60,47
175334,KS,Seward,175,2025-05-12,0,,,,,,,,,,,,,,154,129
175353,KS,Crawford,037,2025-06-02,0,,,,,,,,,,,,,,157,126
175369,KS,Rush,165,2025-08-11,0,,,,,,,,,,,,,,158,127
175374,KS,Nemaha,131,2025-08-11,0,,,,,,,,,,,,,,19,18
175397,KS,Shawnee,177,2025-04-21,1,2025-03-24,28,0.168897,0.610276,3.385791,0.32551,0.09614,0.01174,0.131014,0.091435,0.04358,0.597826,72.521739,60,50
175410,KS,Sedgwick,173,2025-11-17,0,,,,,,,,,,,,,,0,0
175411,KS,Leavenworth,103,2026-01-12,1,2025-07-21,175,0.173131,0.697042,2.910418,0.78098,0.268339,0.0,0.096752,0.13108,-0.054203,0.923913,36.173913,159,126
