make,model,model_year,component_group,recall_report_week,campaign_numbers,flagged,first_crossing_week,lead_days,score_at_crossing,n_trailing_at_crossing,rate_ratio_at_crossing,accel_at_crossing,severity_frac_at_crossing,hazard_lang_at_crossing,matched_controls,matched_controls_not_flagged
HONDA,CR-V,2011,STRUCTURE,2023-03-30,23V228000,1,2022-10-06,175,0.009208,1.0,4.333333,0.0,0.0,1.0,110,0
BMW,328I,2013,ENGINE,2024-08-08,24V608000,1,2024-02-15,175,0.018967,3.0,1.444444,1.0,0.0,1.0,94,0
MERCEDES BENZ,C350,2008,EXTERIOR LIGHTING,2022-03-17,22V168000,0,,,,,,,,,51,0
MAZDA,MAZDA3,2005,AIR BAGS,2021-07-01,21V494000,0,,,,,,,,,21,0
MAZDA,B-SERIES TRUCK,2004,AIR BAGS,2023-12-07,23V837000,0,,,,,,,,,10,0
HYUNDAI,TUCSON,2010,SERVICE BRAKES,2023-09-21,23V651000,0,,,,,,,,,91,0
LINCOLN,MKZ,2013,SERVICE BRAKES,2023-03-09,23V162000,1,2023-01-26,42,0.009409,1.0,4.333333,1.0,0.0,1.0,48,0
AUDI,S6,2013,ENGINE,2022-03-17,22V178000,1,2021-09-23,175,0.021224,1.0,0.433333,0.0,0.0,1.0,56,0
HONDA,CR-V,2013,FUEL/PROPULSION SYSTEM,2023-12-14,23V858000,0,,,,,,,,,142,0
MINI,COOPER,2011,ELECTRICAL SYSTEM,2023-05-11,23V337000,1,2022-11-17,175,0.012911,1.0,4.333333,0.0,0.0,0.0,16,0
BMW,X3 SAV,2010,ENGINE,2022-02-24,22V119000,0,,,,,,,,,80,0
FORD,EXPLORER,2011,SUSPENSION,2021-09-16,21V746000,0,,,,,,,,,282,0
NISSAN,VERSA,2007,AIR BAGS,2022-08-04,22E066000,1,2022-04-21,105,0.020954,1.0,2.166667,1.0,0.0,0.0,106,0
MINI,COOPER,2013,ELECTRICAL SYSTEM,2023-05-11,23V337000,0,,,,,,,,,8,0
NISSAN,LEAF,2013,VISIBILITY,2023-04-20,23V296000,0,,,,,,,,,174,0
TOYOTA,TUNDRA,2013,STEERING,2021-11-18,21V920000,0,,,,,,,,,208,0
TOYOTA,TUNDRA,2013,STEERING,2021-12-23,21E103000,0,,,,,,,,,196,0
MINI,COOPER CLUBMAN,2008,ELECTRICAL SYSTEM,2023-05-11,23V337000,0,,,,,,,,,7,0
NISSAN,MAXIMA,2002,AIR BAGS,2022-08-04,22E066000,0,,,,,,,,,25,0
KIA,OPTIMA HYBRID,2012,SERVICE BRAKES,2023-09-21,23V652000,0,,,,,,,,,138,0
NISSAN,PATHFINDER,2008,AIR BAGS,2023-02-09,23V067000,1,2022-08-18,175,0.020512,1.0,2.166667,0.0,0.0,0.0,82,0
NISSAN,SENTRA,2002,AIR BAGS,2022-08-04,22E066000,0,,,,,,,,,25,0
BMW,X3,2011,ENGINE,2023-10-19,23V707000,1,2023-04-27,175,0.02008,1.0,2.166667,-1.0,0.0,0.0,88,0
NISSAN,SENTRA,2003,AIR BAGS,2022-08-04,22E066000,0,,,,,,,,,32,0
MINI,COOPER,2008,ELECTRICAL SYSTEM,2023-05-11,23V337000,0,,,,,,,,,7,0
BMW,3 SERIES,2009,ENGINE,2022-02-24,22V119000,0,,,,,,,,,63,0
VOLVO,S60,2004,AIR BAGS,2021-09-30,21V766000,0,,,,,,,,,15,0
MERCEDES BENZ,R500,2006,SERVICE BRAKES,2022-05-05,22V315000,0,,,,,,,,,39,0
MERCEDES BENZ,R500,2006,SERVICE BRAKES,2024-04-25,24V298000,0,,,,,,,,,36,0
BUICK,ENCLAVE,2009,AIR BAGS,2021-10-07,21V782000,0,,,,,,,,,31,0
